"RIVOLI","LIBELLE","COMMUNE","MOT_DIRECTEUR","STATUT","TENANT","ABOUTISSANT","PRESTATION_COLLECTE","TYPE_COLLECTE","OBS_PRESTATION_COLLECTE","BLEU_JOUR_COLLECTE","JAUNE_JOUR_COLLECTE","OBS_JOUR_COLLECTE","QUARTIER","OBS_QUARTIER"
"2012","Rue de la Colinière","NANTES","Colinière","PUBLIQUE","NANTES Rond-Point Marin Poirier","NANTES Rue du Landreau","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Doulon - Bottière",""
"2016","Rue des Collines","NANTES","Collines","PUBLIQUE","NANTES Route de Sainte Luce","NANTES Rue de la Haluchère","TRI'SAC","unique","","mardi et vendredi","","","Doulon - Bottière",""
"2020","Rue de Colmar","NANTES","Colmar","PUBLIQUE","NANTES Rue de Mayence","NANTES Rue Fouré","Centre-ville en C3","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"2428","Rue Désiré Colombe","NANTES","Colombe","PUBLIQUE","NANTES Rue de la Rosière d'Artois","NANTES Rue Arsène Leloup","extension tri'sac 2013","unique","","mardi et vendredi","","","Centre Ville",""
"2024","Rue Colombel","NANTES","Colombel","PUBLIQUE","NANTES Rue Fellonneau","NANTES Place Saint Felix","TRI'SAC","unique","","lundi et jeudi","","","Hauts Pavés - Saint Félix",""
"2035","Rue des Colporteurs","NANTES","Colporteurs","PUBLIQUE","NANTES Rue du Bêle","","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Nantes Erdre",""
"5632","Rue Michel Columb","NANTES","Columb","PUBLIQUE","NANTES Quai André Rhuys","NANTES Rue Saint Hermeland","TRI'SAC","unique","","mardi et vendredi","","","Ile de Nantes",""
"2040","Rue Columelle","NANTES","Columelle","PUBLIQUE","NANTES Rue Baron","NANTES Rue Perelle","Centre-ville en C3","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"2041","Avenue de la Comète","NANTES","Comète","PUBLIQUE","NANTES Rue de la Perrière","VERTOU Avenue de la Comète","bacs bleus et bacs jaunes","unique","","jeudi","mercredi","","Nantes Sud",""
"2089","Passage du Commerce","NANTES","Commerce","PRIVEE","NANTES Place de la Bourse","","Centre-ville en C3","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"2092","Place du Commerce","NANTES","Commerce","PUBLIQUE","NANTES Allée Brancas","NANTES Allée de la Bourse","Centre-ville en C3","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"2100","Rue de la Commune","NANTES","Commune","PUBLIQUE","NANTES Place Saint Jean","NANTES Place de l'Hôtel de Ville","Centre-ville en C3","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"2106","Rue de la Conardière","NANTES","Conardière","PUBLIQUE","NANTES Route de Saint Joseph","NANTES Rue de Port la Blanche","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Nantes Erdre",""
"2107","Rue de Concarneau","NANTES","Concarneau","PUBLIQUE","NANTES Boulevard René Cassin","NANTES Rue de Pont Aven","TRI'SAC","unique","","lundi et jeudi","","","Nantes Nord",""
"2108","Avenue de la Concorde","NANTES","Concorde","PRIVEE","NANTES Avenue du Petit Hermitage","","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Breil - Barberie",""
"2112","Rue Condorcet","NANTES","Condorcet","PUBLIQUE","NANTES Place de Grillaud","NANTES Rue des Dervallières","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Dervallières - Zola",""
"2113","Rue de la Confiserie","NANTES","Confiserie","PRIVEE","NANTES Rue Pierre Joseph Colin","","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Dervallières - Zola",""
"2115","Rue de la Conserverie","NANTES","Conserverie","PRIVEE","NANTES Rue Pierre Joseph Colin","","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Dervallières - Zola",""
"1997","Boulevard Clovis Constant","NANTES","Constant","PUBLIQUE","NANTES Place Armand Fallières","NANTES Boulevard des Anglais","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Hauts Pavés - Saint Félix",""
"2116","Rue de Constantine","NANTES","Constantine","PUBLIQUE","NANTES Place du Sanitat","","extension tri'sac 2013","unique","","mardi et vendredi","","","Centre Ville",""
"2120","Rue de la Constitution","NANTES","Constitution","PUBLIQUE","NANTES Boulevard de la Liberté","NANTES Place de la Nation","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"0298","Rue Anita Conti","NANTES","Conti","Inconnu","NANTES Rue de la Basse Chénaie","NANTES Route de Sainte Luce","TRI'SAC","unique","","mardi et vendredi","","","Doulon - Bottière",""
"2124","Rue Contrescarpe","NANTES","Contrescarpe","PUBLIQUE","NANTES Rue Crébillon","NANTES Place du Bon Pasteur","Centre-ville en C3","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"2127","Impasse de la Contrie","NANTES","Contrie","PRIVEE","NANTES Rue de la Contrie","Impasse","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Dervallières - Zola",""
"2128","Rue de la Contrie","NANTES","Contrie","PUBLIQUE","NANTES Place Vincent Auriol","NANTES Rond-Point Abel Durand","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Dervallières - Zola",""
"2132","Rue de la Convention","NANTES","Convention","PUBLIQUE","NANTES Boulevard de l'Egalité","NANTES Rue du Corps de Garde","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Dervallières - Zola",""
"2136","Impasse Copernic","NANTES","Copernic","PRIVEE","NANTES Rue Copernic","Impasse","extension tri'sac 2013","unique","","mardi et vendredi","","","Centre Ville",""
"2140","Rue Copernic","NANTES","Copernic","PUBLIQUE","NANTES Place Delorme","NANTES Place de l'Edit de Nantes","extension tri'sac 2013","pluriel","à partir des numeros 5B et 10B","mardi et vendredi","","","Centre Ville",""
"2140","Rue Copernic","NANTES","Copernic","PUBLIQUE","NANTES Place Delorme","NANTES Place de l'Edit de Nantes","Centre-ville en C3","pluriel","les numeros 5 et 6","lundi - mercredi - vendredi","","","Centre Ville",""
"3300","Rue François Coppée","NANTES","Coppée","PUBLIQUE","NANTES Boulevard Maréchal Alphonse Juin","NANTES Rue de l'Abbaye","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"3036","Avenue Fausto Coppi","NANTES","Coppi","PRIVEE","NANTES Route de Saint Joseph","","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Nantes Erdre",""
"2149","Avenue des Coquelicots","NANTES","Coquelicots","PRIVEE","NANTES Rue de la Bourgeonnière","","TRI'SAC","unique","","lundi et jeudi","","","Nantes Nord",""
"2152","Avenue de la Coquetterie","NANTES","Coquetterie","PUBLIQUE","NANTES Rue Félix Thomas","NANTES Rue de la Haute Forêt","TRI'SAC","unique","","lundi et jeudi","","","Hauts Pavés - Saint Félix",""
"6461","Petite Avenue de la Coquetterie","NANTES","Coquetterie","PRIVEE","NANTES Avenue de la Coquetterie","","TRI'SAC","unique","","lundi et jeudi","","","Hauts Pavés - Saint Félix",""
"4371","Rue Jean-Baptiste Coraboeuf","NANTES","Coraboeuf","Inconnu","NANTES Allée de l'Embellie","NANTES Rue Jean Demozay","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Nantes Erdre",""
"2157","Avenue du Corail","NANTES","Corail","PRIVEE","NANTES Avenue de l'Archipel","","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Nantes Erdre",""
"8205","Rue Tristan Corbière","NANTES","Corbière","PUBLIQUE","NANTES Rue du Bêle","NANTES Place du Journal","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Nantes Erdre",""
"2159","Cours Corbilo","NANTES","Corbilo","PRIVEE","NANTES Rue Ferréol Bolo","","extension tri'sac 2013","unique","","mardi et vendredi","","","Centre Ville",""
"7146","Avenue Raymond Corbineau","NANTES","Corbineau","PRIVEE","NANTES Rue Paul Plantiveau","","TRI'SAC","unique","","mardi et vendredi","","","Doulon - Bottière",""
"2160","Rue des Cordeliers","NANTES","Cordeliers","PUBLIQUE","NANTES Rue du Refuge","NANTES Rue Saint Jean","Centre-ville en C3","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"2164","Quai du Cordon Bleu","NANTES","Cordon","PUBLIQUE","NANTES Rue Réaumur","","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"2169","Rue des Corettes","NANTES","Corettes","PRIVEE","NANTES Route de Sainte Luce","NANTES Rue du Bois Robillard","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Doulon - Bottière",""
"2170","Avenue de Corfou","NANTES","Corfou","PRIVEE","NANTES Rue de la Chevalerie","","TRI'SAC","unique","","lundi et jeudi","","","Nantes Nord",""
"1404","Rue Capitaine Corhumel","NANTES","Corhumel","PUBLIQUE","NANTES Place Sainte Elisabeth","NANTES Place Edouard Normand","extension tri'sac 2013","unique","","mardi et vendredi","","","Hauts Pavés - Saint Félix",""
"2174","Avenue de Corinthe","NANTES","Corinthe","PRIVEE","NANTES Avenue de Samothrace","","TRI'SAC","unique","","lundi et jeudi","","","Breil - Barberie",""
"3502","Rue Gaspard Coriolis","NANTES","Coriolis","Inconnu","NANTES Boulevard Nicéphore Niepce","","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Nantes Erdre",""
"5164","Avenue Ludovic Cormerais","NANTES","Cormerais","PRIVEE","NANTES Rue d'Allonville","","TRI'SAC","unique","","lundi et jeudi","","","Malakoff - Saint-Donatien",""
"2172","Rue du Cormier","NANTES","Cormier","PUBLIQUE","NANTES Rue du Bouillon","NANTES Rue du Corps de Garde","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Dervallières - Zola",""
"2173","Allée des Cormorans","NANTES","Cormorans","PRIVEE","NANTES Rue Edgar Quinet","","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Dervallières - Zola",""
"2175","Impasse des Cornalines","NANTES","Cornalines","PRIVEE","NANTES Avenue des Opalines","Impasse","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Doulon - Bottière",""
"2176","Rue Corneille","NANTES","Corneille","PUBLIQUE","","NANTES Rue Scribe","Centre-ville en C3","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"7024","Rue Professeur Eugène Cornet","NANTES","Cornet","PUBLIQUE","NANTES Rue du Corps de Garde","NANTES Rue Paul Bert","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Dervallières - Zola",""
"2178","Rue de la Corniche","NANTES","Corniche","PUBLIQUE","NANTES Rue de la Renaudière","NANTES Rue du Vallon","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Nantes Erdre",""
"2181","Rue de la Cornouaille","NANTES","Cornouaille","PUBLIQUE","NANTES Rond-Point des Combattants d'Indo","NANTES Rue du Port Boyer","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Nantes Erdre",""
"2184","Rue de Cornulier","NANTES","Cornulier","PUBLIQUE","NANTES Quai de Malakoff","NANTES Rue de Lourmel","TRI'SAC","unique","","mardi et vendredi","","","Malakoff - Saint-Donatien",""
"2185","Allée de la Corolle","NANTES","Corolle","PRIVEE","ST-HERBLAIN Boulevard du Tertre","","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Dervallières - Zola",""
"4372","Rue Jean Baptiste Corot","NANTES","Corot","PUBLIQUE","","NANTES Place Puvis De Chavannes","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Dervallières - Zola",""
"2191","Rue de la Corrèze","NANTES","Corrèze","PUBLIQUE","NANTES Rue Georges Charrier","","zone_transition","unique","","mardi et vendredi","merc_sem_paires","","Bellevue - Chantenay - Sainte Anne",""
"4506","Rue Jeanne la Corsaire","NANTES","Corsaire","Inconnu","NANTES Allée de l'Embellie","NANTES Rue Jean Demozay","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Nantes Erdre",""
"2189","Rue de Corse","NANTES","Corse","PUBLIQUE","NANTES Boulevard de Sarrebruck","NANTES Rue de Chypre","TRI'SAC","unique","","mardi et vendredi","","","Malakoff - Saint-Donatien",""
"2194","Allée des Cosmos","NANTES","Cosmos","Inconnu","","NANTES Allée des Lavandes","TRI'SAC","unique","","lundi et jeudi","","","Nantes Nord",""
"5055","Avenue Lotz Cossé","NANTES","Cossé","PRIVEE","NANTES Boulevard Alexandre Millerand","","TRI'SAC","unique","","mardi et vendredi","","","Ile de Nantes",""
"2775","Impasse Emile Cossé","NANTES","Cossé","PRIVEE","NANTES Passage Leroy","Impasse","extension tri'sac 2013","unique","","mardi et vendredi","","","Hauts Pavés - Saint Félix",""
"2776","Rue Emile Cossé","NANTES","Cossé","PUBLIQUE","NANTES Rue Docteur Brindeau","NANTES Passage Leroy","extension tri'sac 2013","unique","","mardi et vendredi","","","Hauts Pavés - Saint Félix",""
"2195","Rue du Coteau","NANTES","Coteau","PUBLIQUE","NANTES Rue Bouchaud","NANTES Rue Bouchaud","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Dervallières - Zola",""
"2210","Avenue des Cottages","NANTES","Cottages","PRIVEE","ST-HERBLAIN Route de Vannes","","TRI'SAC","unique","","lundi et jeudi","","","Breil - Barberie",""
"2216","Avenue Cottineau","NANTES","Cottineau","PRIVEE","NANTES Rue des Chalâtres","","TRI'SAC","unique","","lundi et jeudi","","","Malakoff - Saint-Donatien",""
"2982","Rue Eugénie Cotton","NANTES","Cotton","PUBLIQUE","NANTES Boulevard de la Beaujoire","NANTES Route de Carquefou","TRI'SAC","unique","","mardi et vendredi","","","Nantes Erdre",""
"6953","Boulevard Président René Coty","NANTES","Coty","PUBLIQUE","NANTES Rue Amiral Du Chaffault","NANTES Boulevard de l'Egalité","TRI'SAC","unique","","lundi et jeudi","","","pluriel","numeros impairs : Bellevue - Chantenay - Sainte Anne ; numeros pairs : Dervallières - Zola"
"2172","Boulevard Pierre De Coubertin","ST-HERBLAIN","Coubertin","PUBLIQUE","NANTES Boulevard Pierre de Coubertin","ST-HERBLAIN Boulevard du Massacre","TRI'SAC","pluriel","sauf les numéros 82 à 84 (st herblain)","lundi et jeudi","","","Breil - Barberie",""
"2218","Promenade du Couchant","NANTES","Couchant","PUBLIQUE","NANTES Rue du Bêle","","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Nantes Erdre",""
"1696","Avenue Charles Couchoud","NANTES","Couchoud","PRIVEE","NANTES Rue des Alouettes","NANTES Rue de l'Etang","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"2222","Avenue des Coucous","NANTES","Coucous","PRIVEE","NANTES Boulevard de Longchamp","NANTES Avenue Gergaud","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Breil - Barberie",""
"2224","Rue du Coudray","NANTES","Coudray","PUBLIQUE","NANTES Boulevard des Belges","NANTES Place Alfred Lallié","TRI'SAC","unique","","lundi et jeudi","","","Malakoff - Saint-Donatien",""
"2229","Impasse de la Coudre","NANTES","Coudre","PRIVEE","NANTES Rue de Coetquelfen","Impasse","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Nantes Erdre",""
"2228","Rue du Couédic","NANTES","Couédic","PUBLIQUE","NANTES Allée Brancas","NANTES Place Félix Fournier","Centre-ville en C3","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"2236","Rue de la Coulée","NANTES","Coulée","PUBLIQUE","NANTES Route de la Chapelle Sur Erdre","NANTES Rue de Hamilton","TRI'SAC","unique","","lundi et jeudi","","","Nantes Nord",""
"2244","Rue de Coulmiers","NANTES","Coulmiers","PUBLIQUE","NANTES Boulevard de Stalingrad","NANTES Rue Général Buat","TRI'SAC","unique","","lundi et jeudi","","","Malakoff - Saint-Donatien",""
"2253","Rue de Coulonge","NANTES","Coulonge","PUBLIQUE","NANTES Chemin de l'Eraudière","NANTES Rue du Château de l'Eraudière","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Nantes Erdre",""
"2247","Impasse de la Cour aux Cerfs","NANTES","Cour","PRIVEE","NANTES Chemin du Cellier","Impasse","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Nantes Erdre",""
"0232","Boulevard Amiral Courbet","NANTES","Courbet","PUBLIQUE","NANTES Quai de Versailles","NANTES Rue François Bruneau","TRI'SAC","unique","","lundi et jeudi","","","Hauts Pavés - Saint Félix",""
"2249","Impasse des Courlis","NANTES","Courlis","PRIVEE","NANTES Avenue des Tourterelles","Impasse","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Dervallières - Zola",""
"2256","Rue de Courson","NANTES","Courson","PUBLIQUE","NANTES Rue Gaston Turpin","NANTES Rue Général Buat","TRI'SAC","unique","","lundi et jeudi","","","Malakoff - Saint-Donatien",""
"2266","Rue des Courtils","NANTES","Courtils","PUBLIQUE","NANTES Rue des Pavillons","NANTES Rue Pierre Dupont","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"2271","Impasse de la Courtine","NANTES","Courtine","PUBLIQUE","NANTES Rue Paul Bellamy","Impasse","TRI'SAC","unique","","lundi et jeudi","","","Hauts Pavés - Saint Félix",""
"1600","Rue Chanoine Courtonne","NANTES","Courtonne","PUBLIQUE","NANTES Rue Octave Feuillet","NANTES Rue Alexandre Dumas","zone_transition","unique","","lundi et jeudi","merc_sem_impaires","","Hauts Pavés - Saint Félix",""
"2280","Rue de Courville","NANTES","Courville","PUBLIQUE","NANTES Rue Etienne Hervais","","zone_transition","unique","","mardi et vendredi","merc_sem_paires","","Bellevue - Chantenay - Sainte Anne",""
"2301","Rue Coustard","NANTES","Coustard","PUBLIQUE","NANTES Allée Baco","NANTES Rue Fouré","Centre-ville en C3","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"2326","Place du Commandant Cousteau","NANTES","Cousteau","PRIVEE","","","TRI'SAC","unique","","mardi et vendredi","","","Doulon - Bottière",""
"2284","Rue Coustou","NANTES","Coustou","PUBLIQUE","NANTES Rue de Richebourg","NANTES Rue Malherbe","TRI'SAC","unique","","lundi et jeudi","","","Malakoff - Saint-Donatien",""
"2918","Rue Etienne Coutan","NANTES","Coutan","PUBLIQUE","NANTES Rue Firmin Colas","NANTES Rue de Pessac","bacs bleus et bacs jaunes","pluriel","jusqu'aux numéros 17 et 24, sauf le numéro 4","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"2918","Rue Etienne Coutan","NANTES","Coutan","PUBLIQUE","NANTES Rue Firmin Colas","NANTES Rue de Pessac","TRI'SAC","pluriel","le numéro 4 et à partir des numéros 21 et 26","lundi et jeudi","","","Bellevue - Chantenay - Sainte Anne",""
"2289","Rue de la Coutancière","NANTES","Coutancière","PRIVEE","NANTES Boulevard Joliot Curie","","bacs bleus et bacs jaunes","unique","","jeudi","mercredi","","Nantes Sud",""
"4436","Rue Jean De Crabosse","NANTES","Crabosse","PUBLIQUE","NANTES Rue de l'Hermitage","NANTES Rue du Roi Baco","TRI'SAC","unique","","lundi et jeudi","","","Bellevue - Chantenay - Sainte Anne",""
"8102","Rue Thomas Russel Crampton","NANTES","Crampton","PUBLIQUE","NANTES Rue Olivier Evans","NANTES Rue de la Croix Rouge","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Doulon - Bottière",""
"2300","Rue Crébillon","NANTES","Crébillon","PUBLIQUE","NANTES Place Royale","","Centre-ville en C3","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"2752","Rue Elie Crépeau","NANTES","Crépeau","PUBLIQUE","NANTES Rue Jean Poulain","NANTES Rue des Renards","TRI'SAC","unique","","lundi et jeudi","","","Nantes Nord",""
"2295","Allée du Crépuscule","NANTES","Crépuscule","PUBLIQUE","NANTES Passage des Tauzins","NANTES Rue du Bêle","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Nantes Erdre",""
"2299","Avenue de la Cressonnière","NANTES","Cressonnière","PRIVEE","NANTES Rue de la Patouillerie","","TRI'SAC","unique","","lundi et jeudi","","","Breil - Barberie",""
"0269","Passage André Crétaux","NANTES","Crétaux","PUBLIQUE","NANTES Rue Baron","NANTES Passage Berthault","Centre-ville en C3","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"2303","Avenue du Cristal","NANTES","Cristal","PRIVEE","NANTES Rue du Port Durand","","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Nantes Erdre",""
"2305","Allée des Crocus","NANTES","Crocus","PUBLIQUE","NANTES Chemin de la Pierre Percée","NANTES Allée des Pensées","TRI'SAC","unique","","lundi et jeudi","","","Nantes Nord",""
"2308","Impasse du Croisic","NANTES","Croisic","PRIVEE","NANTES Rue Saint Jean Baptiste de la Sal","Impasse","TRI'SAC","unique","","lundi et jeudi","","","Hauts Pavés - Saint Félix",""
"2304","Place du Croisic","NANTES","Croisic","PUBLIQUE","","","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Hauts Pavés - Saint Félix",""
"2312","Rue du Croissant","NANTES","Croissant","PUBLIQUE","NANTES Route de Sainte Luce","NANTES Boulevard Jules Verne","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Doulon - Bottière",""
"7580","Place Sainte Croix","NANTES","Croix","PUBLIQUE","","","Centre-ville en C3","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"2316","Rue de la Croix","NANTES","Croix","PUBLIQUE","NANTES Boulevard Maréchal Alphonse Juin","NANTES Rue de l'Abbaye","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"7584","Rue Sainte Croix","NANTES","Croix","PUBLIQUE","NANTES Rue de la Marne","NANTES Rue de la Juiverie","Centre-ville en C3","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"2320","Impasse de la Croix Bonneau","NANTES","Croix","PUBLIQUE","NANTES Route de Saint Herblain","Impasse","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Dervallières - Zola",""
"2321","Place de la Croix Bonneau","NANTES","Croix","PUBLIQUE","","","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Dervallières - Zola",""
"0211","Avenue Ambroise Croizat","NANTES","Croizat","PRIVEE","NANTES Avenue Jeanne Jugan","NANTES Rue du Moulin de l'Abbaye","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"3119","Quai Fernand Crouan","NANTES","Crouan","PUBLIQUE","NANTES Pont Anne de Bretagne","","TRI'SAC","unique","","mardi et vendredi","","","Ile de Nantes",""
"5633","Allée Michel Croz","NANTES","Croz","PRIVEE","NANTES Rue du Landreau","","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Doulon - Bottière",""
"2331","Rue de Crozon","NANTES","Crozon","Inconnu","NANTES Rue du Millau","NANTES Allée de Bannalec","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Nantes Erdre",""
"2335","Impasse Crucy","NANTES","Crucy","PRIVEE","NANTES Rue de la Cale Crucy","Impasse","TRI'SAC","unique","","lundi et jeudi","","","Bellevue - Chantenay - Sainte Anne",""
"2336","Rue Crucy","NANTES","Crucy","PUBLIQUE","NANTES Avenue Carnot","NANTES Rue des Olivettes","Centre-ville en C3","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"4573","Rue Joseph Cugnot","NANTES","Cugnot","PUBLIQUE","NANTES Rue de la Rivière","NANTES Rue Marc Seguin","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Doulon - Bottière",""
"2346","Rue des Cupressus","NANTES","Cupressus","Inconnu","NANTES Rue de la Fontaine Caron","NANTES Rue de Port la Blanche","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Nantes Erdre",""
"2348","Rue de la Cure","NANTES","Cure","PUBLIQUE","NANTES Rue André Hougron","NANTES Rue des Civelles","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"4600","Boulevard Joliot Curie","NANTES","Curie","PUBLIQUE","NANTES Rue Ledru Rollin","NANTES Rue de la Ripossière","bacs bleus et bacs jaunes","unique","","jeudi","mercredi","","Nantes Sud",""
"2352","Rue Pierre et Marie Curie","NANTES","Curie","PUBLIQUE","NANTES Place Victor Basch","NANTES Rue Général Le Flo","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Malakoff - Saint-Donatien",""
"2356","Rue Cuvier","NANTES","Cuvier","PUBLIQUE","NANTES Place Catinat","NANTES Boulevard de Launay","extension tri'sac 2013","unique","","mardi et vendredi","","","Dervallières - Zola",""
"2358","Allée des Cytises","NANTES","Cytises","PRIVEE","NANTES Avenue de Bayonne","NANTES Allée de la Nive","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"4309","Rue Jacques Daguerre","NANTES","Daguerre","Inconnu","NANTES Boulevard Nicéphore Niepce","","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Nantes Erdre",""
"2360","Impasse Daguin","NANTES","Daguin","PRIVEE","NANTES Rue de la Convention","Impasse","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Dervallières - Zola",""
"2364","Rue des Dahlias","NANTES","Dahlias","PUBLIQUE","NANTES Boulevard Pierre de Coubertin","NANTES Rue Professeur Dubuisson","TRI'SAC","unique","","lundi et jeudi","","","Breil - Barberie",""
"2361","Rue des Daims","NANTES","Daims","PRIVEE","NANTES Chemin de la Boisbonnière","NANTES Rue de la Porte Douillard","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Nantes Erdre",""
"2880","Boulevard Ernest Dalby","NANTES","Dalby","PUBLIQUE","NANTES Boulevard de Doulon","NANTES Boulevard de Stalingrad","TRI'SAC","pluriel","à partir des numéros 39 et 54","lundi et jeudi","","","Malakoff - Saint-Donatien",""
"2880","Boulevard Ernest Dalby","NANTES","Dalby","PUBLIQUE","NANTES Boulevard de Doulon","NANTES Boulevard de Stalingrad","bacs bleus et bacs jaunes","pluriel","jusqu'aux numéros 37 et 52","mardi","mercredi","","Malakoff - Saint-Donatien",""
"2366","Impasse Dalby","NANTES","Dalby","PRIVEE","NANTES Boulevard Ernest Dalby","Impasse","TRI'SAC","unique","","lundi et jeudi","","","Malakoff - Saint-Donatien",""
"2367","Avenue des Dalmatiens","NANTES","Dalmatiens","PRIVEE","NANTES Avenue des Epagneuls","NANTES Route de Sainte Luce","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Doulon - Bottière",""
"2368","Rue Damremont","NANTES","Damremont","PUBLIQUE","NANTES Place du Sanitat","NANTES Rue Dobrée","extension tri'sac 2013","unique","","mardi et vendredi","","","Centre Ville",""
"4428","Rue Jean Danais","NANTES","Danais","PUBLIQUE","NANTES Rue des Renardières","NANTES Boulevard de la Solidarité","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Dervallières - Zola",""
"5504","Rue Maurice Daniel","NANTES","Daniel","PUBLIQUE","NANTES Boulevard Victor Hugo","NANTES Rue René Mouchotte","TRI'SAC","unique","","mardi et vendredi","","","Ile de Nantes",""
"2374","Avenue des Danois","NANTES","Danois","PRIVEE","NANTES Avenue des Lévriers","NANTES Avenue des Epagneuls","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Doulon - Bottière",""
"6466","Petite Rue Danton","NANTES","Danton","PUBLIQUE","NANTES Rue de la Convention","NANTES Rue Danton","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Dervallières - Zola",""
"2376","Place Danton","NANTES","Danton","PUBLIQUE","NANTES Rue Danton","NANTES Rue Danton","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Dervallières - Zola",""
"2380","Rue Danton","NANTES","Danton","PUBLIQUE","NANTES Rue de la Convention","NANTES Rue des Renardières","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Dervallières - Zola",""
