"RIVOLI","LIBELLE","COMMUNE","MOT_DIRECTEUR","STATUT","TENANT","ABOUTISSANT","PRESTATION_COLLECTE","TYPE_COLLECTE","OBS_PRESTATION_COLLECTE","BLEU_JOUR_COLLECTE","JAUNE_JOUR_COLLECTE","OBS_JOUR_COLLECTE","QUARTIER","OBS_QUARTIER"
"2365","Avenue d'Albion","NANTES","Albion","PRIVEE","NANTES Boulevard Jean Moulin","","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"0089","Rue des Albizzias","NANTES","Albizzias","PUBLIQUE","NANTES Rue du Perray","","TRI'SAC","unique","","mardi et vendredi","","","Doulon - Bottière",""
"0073","Avenue de l'Alcyon","NANTES","Alcyon","PRIVEE","NANTES Avenue de l'Etoile de Mer","NANTES Avenue des Amandiers","TRI'SAC","unique","","mardi et vendredi","","","Doulon - Bottière",""
"0144","Rue d'Alger","NANTES","Alger","PUBLIQUE","NANTES Rue Flandres Dunkerque 40","NANTES Place du Sanitat","extension tri'sac 2013","unique","","mardi et vendredi","","","Centre Ville",""
"0146","Avenue des Algues","NANTES","Algues","PRIVEE","NANTES Avenue de l'Albatros","","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Nantes Erdre",""
"0148","Ruelle Aliez","NANTES","Aliez","PRIVEE","NANTES Chemin Biret","","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Dervallières - Zola",""
"0153","Rue des Alisiers","NANTES","Alisiers","PUBLIQUE","NANTES Rue de la Grange au Loup","NANTES Allée de l'Embellie","bacs bleus et bacs jaunes","unique","","mardi","mercredi","","Nantes Erdre",""
"0151","Allée des Alizés","NANTES","Alizés","PRIVEE","NANTES Rue Jean Baptiste Georget","NANTES Avenue du Suroit","bacs bleus et bacs jaunes","unique","","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"3357","Rue Frère Allaire","NANTES","Allaire","PUBLIQUE","NANTES Rue Frère Louis","","bacs bleus et bacs jaunes","unique","","jeudi","mercredi","","Nantes Sud",""
"0187","Avenue Alphonse Allais","NANTES","Allais","PRIVEE","NANTES Rue du Haut Moreau","","TRI'SAC","unique","","lundi et jeudi","","","Malakoff - Saint-Donatien",""
